Student ID,Gender,Religion,Branch,Div-1,Div-2,Div-3,Roll-1,Roll-2,Roll-3,Mentor-1,Mentor-2,Mentor-3,Math-1 Theory,Physics Theory,Physics Practical,Java-1 Theory,Java-1 Practical,Software Engineering Theory,Software Engineering Practical,Environmental Science Theory,IOT Workshop Practical,Computer Workshop Practical,Math-2 Theory,Data Structures using Java Theory,Data Structures using Java Practical,DBMS Theory,DBMS Practical,Fundamental of Electronics and Electrical Theory,Fundamental of Electronics and Electrical Practical,Java-2 Theory,Java-2 Practical,Math-1 Attendance,Physics Attendance,Java-1 Attendance,Software Engineering Attendance,Environmental Science Attendance,IOT Workshop Attendance,Math-2 Attendance,Data Structures using Java Attendance,DBMS Attendance,Fundamental of Electronics and Electrical Attendance,Java-2 Attendance,Math-3 Theory,DE Theory,DE Practical,FSD Theory,FSD Practical,Python Theory,Python Practical,Communication Theory,Law Theory
21,M,Hindu,CE,D6,D8,A6,174,239,199,HRS,JPM,MGV,45,72,80,33,76,72,71,80,80,76,46,45,67,58,62,69,77,38,71,94,95,95,95,77,100,95.24,92.06,92.98,85.96,87.1,68,37,62,59,57,57,89,67,72
22,M,Hindu,CE,D9,D3,A2,268,90,40,NRS,VHP,KMS,76,57,61,49,92,89,77,71,73,85,60,77,94,85,88,77,69,69,91,98,95,98,97,100,100,91.3,94.64,92.31,89.8,91.8,84,75,85,73,73,87,94,90,53
23,F,Hindu,CE,D10,D5,A4,296,148,124,KCS,JPM,PSK,67,72,81,40,74,74,78,76,57,95,56,60,89,49,80,80,73,62,89,86,89,86,81,77,100,74.6,81.97,71.88,81.48,77.97,59,49,70,71,63,71,89,85,46
24,M,Hindu,CE,D1,D1,A1,4,22,29,HRS,PVV,UMS,85,83,79,58,91,83,82,84,70,78,69,77,91,71,83,75,83,75,88,97,97,96,95,92,100,96.88,95.08,93.55,100,100,80,82,83,87,84,85,85,88,64
25,M,Hindu,CE,D8,D11,A6,213,300,194,KGB,ASA,UMM,42,59,76,38,64,59,62,79,63,70,52,61,54,51,50,62,67,40,54,77,80,83,86,83,100,83.33,77.97,74.55,82,84.85,61,42,68,42,66,55,76,69,44
26,M,Hindu,CE,D6,D11,A6,176,314,208,MMS,BPD,MGV,53,50,77,36,76,45,68,60,80,77,51,50,61,38,45,65,45,41,66,94,88,94,87,85,100,86.11,91.53,74.55,92,89.39,58,46,64,50,73,53,82,61,48
27,M,Hindu,CE,D4,D11,A6,107,304,188,JAZ,JPM,UMM,49,60,50,34,72,53,56,58,89,84,44,60,65,51,64,57,46,51,69,97,97,94,92,86,100,93.06,98.31,92.73,100,98.48,70,48,86,68,78,63,76,81,54
28,M,Hindu,CE,D9,D6,A3,250,158,106,MMS,BPD,DVP,72,56,68,43,83,80,77,81,72,82,48,72,89,66,78,65,81,54,82,96,98,98,97,100,100,100,100,100,100,100,64,76,85,77,64,74,68,77,71
29,M,Muslim,CE,D10,D9,A7,289,260,221,VVV,ZPB,DKU,58,49,62,49,65,58,75,55,78,90,39,48,75,33,77,47,79,49,86,98,97,98,97,92,100,100,100,98.28,100,98.25,60,52,56,61,69,75,74,76,33
30,M,Hindu,CE,D5,D10,A5,143,274,152,KCS,ASA,SAS,59,53,81,45,70,52,65,66,67,86,48,62,84,50,66,69,74,58,86,85,82,88,79,93,100,75.81,85.48,81.54,95.83,85.94,67,69,59,65,90,59,76,69,36
31,M,Hindu,CE,D5,D5,A3,130,125,75,MMP,PDB,UMS,74,50,75,62,90,72,58,59,58,86,59,64,94,69,87,77,73,71,93,92,98,94,82,79,100,93.65,96.72,100,100,100,71,78,92,73,71,86,71,47,54
32,M,Hindu,CE,D4,D11,A5,111,324,177,KGB,VHP,ZVB,59,46,44,31,70,40,63,58,49,80,57,61,44,52,39,61,59,50,49,95,91,96,97,93,100,90.28,96.61,87.27,100,96.97,59,61,50,67,83,59,78,67,56
33,M,Hindu,CE,D4,D6,A3,96,164,109,MMP,PDB,DVP,54,68,51,55,75,71,67,72,49,79,55,63,76,68,73,63,68,71,78,100,100,100,100,100,100,94.92,93.1,88.06,92.31,89.39,73,54,71,84,80,79,79,90,67
34,M,Hindu,CE,D8,D3,A2,241,88,39,DPP,PJD,MGV,65,75,84,66,68,66,67,76,62,53,78,77,93,76,92,85,73,71,92,100,97,96,92,92,100,97.1,98.21,83.08,100,95.08,84,84,82,89,83,83,99,73,68
35,M,Hindu,CE,D9,D6,A4,249,168,132,MMP,VHP,PSK,72,60,72,46,69,70,76,59,67,76,47,68,61,58,69,58,77,52,65,84,92,90,84,85,100,88.14,94.83,82.09,88.46,83.33,66,57,89,72,71,58,72,63,46
36,M,Jain,CE,D5,D7,A6,131,197,186,MMS,BPD,DVP,65,62,83,37,72,76,65,71,84,88,40,49,86,53,82,56,72,51,78,92,92,93,87,93,100,87.93,86.96,88.52,96.3,94.83,64,45,72,62,75,72,77,69,44
37,M,Jain,CE,D2,D3,A2,57,70,62,HRS,JPM,PHA,79,68,86,62,87,70,77,73,81,96,76,67,89,70,84,72,75,55,87,86,86,90,89,77,100,84.06,92.86,80,87.76,81.97,91,85,89,83,87,74,68,85,61
38,F,Jain,CE,D3,D4,A2,70,109,60,CVM,JPM,KMS,77,58,85,49,78,79,71,78,84,72,59,68,83,74,93,80,90,73,94,88,91,96,90,93,100,94.03,94.12,96.72,91.84,84.21,83,87,84,87,89,91,80,84,56
39,M,Hindu,CE,D6,D8,A6,161,229,197,KDL,PDB,DVP,56,76,71,35,74,61,72,80,83,83,51,46,66,51,59,48,67,43,58,92,86,88,79,69,100,84.13,79.37,75.44,73.68,74.19,75,49,75,59,61,59,83,87,57
40,M,Hindu,CE,D3,D9,A5,82,261,163,NSD,ASA,DPB,64,57,86,37,64,55,70,57,80,78,79,59,73,42,49,51,71,43,73,92,95,94,93,93,100,97.01,97.14,100,96,100,75,74,72,64,78,60,82,80,47
41,F,Hindu,CE,D8,D9,A4,226,250,127,JAZ,IAM,PHA,56,54,82,39,67,70,82,66,61,62,56,67,85,65,77,73,54,48,57,97,94,98,97,92,100,89.55,91.43,91.38,92,98.25,74,78,78,69,82,59,72,84,58
42,M,Hindu,CE,D6,D7,A4,159,201,136,MMP,NPB,PSK,65,63,73,42,82,69,60,67,80,79,49,64,72,54,66,68,79,53,62,100,100,99,100,100,100,86.21,94.2,81.97,88.89,94.83,60,52,82,61,78,61,84,76,42
43,M,Hindu,CE,D5,D8,A3,123,232,108,HRS,PVS,SAS,69,56,74,48,79,53,50,67,57,85,66,65,69,68,61,68,67,54,72,94,91,92,90,93,100,85.71,90.48,84.21,94.74,88.71,69,91,88,80,66,77,80,73,44
44,F,Hindu,CE,D1,D1,A1,8,17,25,KDL,JJS,UMS,86,78,85,59,84,90,60,92,86,80,73,75,84,79,74,89,94,64,86,84,85,81,81,100,100,95.31,81.97,82.26,100,80.3,84,95,78,92,92,84,99,88,80
45,M,Hindu,CE,D6,D12,A7,164,329,229,MMP,JJS,ZVB,44,51,63,33,81,44,68,69,74,82,31,53,35,35,36,41,63,37,19,98,97,98,92,92,100,93.1,98.31,96.83,92.31,98.57,48,52,71,44,55,42,49,70,50
46,M,Hindu,CE,D4,D2,A3,105,58,104,DPP,NPB,DKU,82,66,72,67,88,69,66,60,94,83,44,60,89,52,90,64,76,76,90,94,85,94,95,86,100,86.36,83.61,88.89,93.48,76.92,80,82,92,74,89,81,77,69,58
47,M,Hindu,CE,D4,D5,A3,121,139,91,CVM,PVV,UMS,65,71,60,43,81,75,74,82,94,90,57,66,92,61,78,84,77,58,88,87,91,89,95,93,100,76.19,88.52,81.25,88.89,77.97,86,86,92,82,86,65,78,86,57
48,F,Hindu,CE,D7,D3,A3,199,71,78,MMS,NPB,DVP,72,76,84,57,81,74,74,70,82,57,60,63,96,65,87,83,74,65,95,99,100,98,97,100,100,98.55,100,95.38,100,98.36,71,80,91,80,71,76,78,81,57
49,F,Hindu,CE,D4,D5,A5,93,150,164,KDL,PAT,SAS,71,57,69,60,83,64,57,70,55,85,41,54,91,56,75,56,77,60,86,92,76,85,76,79,100,84.13,80.33,87.5,88.89,77.97,61,65,84,77,76,73,73,69,47
50,M,Hindu,CE,D7,D10,A6,189,279,204,CVM,NPB,DVP,57,52,75,40,70,59,67,77,54,73,44,51,59,50,44,44,68,51,48,71,82,76,76,71,100,66.13,75.81,76.92,70.83,62.5,55,38,68,40,50,48,92,47,49
51,M,Hindu,CE,D5,D12,A7,133,345,237,NSD,PAT,ZVB,46,36,71,26,64,46,65,52,67,79,20,42,51,45,62,51,52,41,63,86,77,85,79,71,100,91.38,86.44,84.13,88.46,87.14,45,49,65,45,64,44,58,64,40
52,M,Hindu,CE,D2,D8,A3,61,217,90,MDP,PVV,DVP,70,54,77,50,86,59,71,68,75,85,66,65,69,66,61,76,62,59,75,99,97,96,97,92,100,96.83,90.48,100,92.98,96.77,82,82,91,80,93,79,74,77,52
53,M,Hindu,CE,D9,D7,A5,257,199,158,CVM,JJS,KMS,67,62,83,37,66,74,78,76,84,93,31,66,90,55,84,60,76,51,85,92,92,92,95,100,100,82.76,82.61,86.89,74.07,89.66,65,77,62,67,70,67,65,89,77
54,M,Hindu,CE,D8,D7,A3,221,198,76,VVV,IAM,DKU,66,60,75,49,91,65,71,59,53,49,69,69,87,72,83,75,78,62,86,93,93,94,92,83,100,86.21,88.41,88.52,85.19,91.38,79,72,94,85,75,86,81,78,41
55,M,Hindu,CE,D5,D3,A2,144,85,54,KDL,PAT,PHA,72,65,68,69,84,67,64,51,67,79,57,72,81.5,78,81,70,81,79,82,79,71,88,85,64,100,82.61,75,83.08,67.35,80.33,71,82,87,80,84,79,101,54,27
56,M,Hindu,CE,D6,D12,A7,168,334,220,PJD,PVV,ZVB,47,53,80,29,83,39,68,54,82,77,43,40,35,50,0,61,35,43,35,81,82,89,92,85,100,84.48,89.83,82.54,88.46,78.57,42,68,89,49,75,54,55,54,35
57,M,Hindu,CE,D4,D7,A4,92,195,128,KCS,ZPB,PSK,68,61,67,42,72,69,73,70,55,76,53,63,84,61,66,67,64,56,80,91,88,94,89,79,100,89.66,89.86,90.16,96.3,96.55,66,77,82,79,72,71,66,78,42
58,M,Hindu,CE,D9,D4,A1,265,96,33,MDP,JPM,UMS,79,69,76,45,81,76,78,80,84,93,74,73,85,77,84,75,79,74,82,100,97,100,100,100,100,100,98.53,96.72,95.92,100,78,84,81,95,82,89,95,85,70
59,M,Hindu,CE,D3,D4,A4,72,104,111,HRS,ZPB,PHA,79,67,86,62,82,58,73,55,81,82,42,61,88,64,93,63,87,67,97,97,97,100,98,100,100,86.57,88.24,91.8,93.88,87.72,74,74,80,75,77,84,95,75,40
60,M,Hindu,CE,D8,D6,A4,232,167,114,MMP,PVS,UMM,62,73,77,49,75,64,74,71,68,80,68,58,66,64,67,71,79,54,69,86,86,91,97,92,100,96.61,91.38,77.61,92.31,92.42,79,81,85,83,79,69,73,75,59
61,M,Hindu,CE,D6,D7,A5,166,189,175,NRS,PAT,DPB,62,64,71,43,84,73,59,66,84,84,37,59,75,49,63,68,62,44,59,100,100,100,100,100,100,84.48,92.75,88.52,88.89,87.93,66,72,62,65,69,67,76,56,49
62,M,Hindu,CE,D8,D7,A4,236,202,138,PJD,PAT,UMM,62,69,79,44,67,64,63,80,86,60,55,60,88,68,71,66,69,45,82,93,93,91,92,83,100,84.48,91.3,67.21,79.63,89.66,78,43,55,63,53,56,61,76,43
63,M,Hindu,CE,D12,D8,A3,337,212,103,NSD,JJS,DVP,67,61,72,51,78,57,89,73,76,65,51,66,84,68,71,65,70,66,90,94,100,98,94,100,100,92.06,88.89,92.98,89.47,95.16,80,79,92,70,73,69,81,79,53
64,M,Hindu,CE,D1,D5,A4,7,149,126,KCS,NPB,UMM,83,62,77,43,76,64,75,65,68,68,57,53,92,61,80,73,80,59,88,97,100,94,97,100,100,90.48,98.36,90.63,96.3,89.83,74,79,79,91,83,74,87,78,46
65,M,Hindu,CE,D7,D12,A6,211,341,184,KCS,IAM,DVP,42,43,61,32,61,46,69,62,67,79,53,63,78,50,76,59,69,52,86,89,92,91,95,93,100,98.28,96.61,96.83,96.15,91.43,82,62,74,51,57,64,87,68,46
66,M,Hindu,CE,D6,D10,A5,158,291,178,JAZ,JPM,DPB,44,51,89,47,89,61,77,57,80,94,34,52,71,53,67,55,78,67,63,84,82,85,79,77,100,85.48,79.03,78.46,81.25,82.81,60,61,78,62,62,66,81,57,63
67,M,Jain,CE,D12,D11,A7,339,306,227,SVC,PAT,SAS,56,52,81,37,60,50,78,72,59,58,32,47,70,36,57,57,76,41,71,95,95,99,97,79,100,84.72,88.14,80,84,80.3,55,48,67,54,73,53,54,70,40
68,M,Hindu,CE,D6,D7,A6,181,187,180,MMP,JPM,UMM,60,65,83,48,80,70,59,72,85,84,34,46,73,59,62,59,54,59,64,98,89,94,87,85,100,86.21,86.96,86.89,88.89,93.1,76,54,67,60,60,71,63,61,38
69,M,Hindu,CE,D1,D2,A5,17,39,148,VVV,ZPB,SAS,85,78,79,54,83,80,75,75,82,77,49,46,78,58,74,54,60,52,77,83,76,78,70,62,100,77.27,81.97,71.43,82.61,72.31,68,61,67,67,69,66,78,75,25
70,M,Jain,CE,D9,D9,A6,253,257,211,PJD,PJD,MGV,61,67,47,36,56,51,69,66,62,89,56,48,70,41,45,61,76,35,47,79,86,82,76,92,100,83.58,90,77.59,78,75.44,79,54,70,47,60,61,78,78,37
71,M,Hindu,CE,D2,D1,A1,46,21,28,MMS,PDB,MVP,82,80,81,76,85,72,86,79,86,87,66,71,90,75,82,81,90,79,89,88,81,90,86,85,100,82.81,83.61,80.65,83.33,77.27,77,79,84,92,78,90,90,84,62
72,M,Hindu,CE,D4,D1,A1,98,14,15,NRS,ASA,PSK,79,82,68,75,96,84,62,77,66,82,76,81,88,89,80,79,84,77,87,90,91,88,89,93,100,73.44,72.13,72.58,75,75.76,78,83,75,69,82,89,98,94,60
73,M,Hindu,CE,D3,D1,A1,89,9,7,HRS,PVV,PSK,84,88,82,73,73,82,67,85,66,81,88,78,89,90,81,90,88,78,92,100,100,100,98,100,100,100,95.08,96.77,100,93.94,93,96,89,96,79,99,94,93,87
74,M,Muslim,CE,D2,D1,A1,35,2,2,ARP,BPD,DPB,93,88,86,80,96,92,88,93,86,97,80,86,93,89,88,93,94,89,91,92,97,95,97,100,100,92.19,86.89,88.71,95.83,90.91,95,96,89,98,105,95,88,96,92
75,M,Hindu,CE,D4,D2,A2,100,59,55,PJD,PAT,MGV,83,70,48,57,71,73,66,76,66,85,66,67,75,74,77,77,70,76,82,85,90,89,89,86,100,83.33,78.69,77.78,86.96,89.23,77,77,89,87,85,95,73,70,60
76,M,Hindu,CE,D3,D10,A7,66,273,228,PJD,ZPB,DKU,66,52,64,40,52,51,66,63,68,78,32,44,64,40,61,42,57,42,63,81,77,80,80,86,100,70.97,75.81,70.77,70.83,70.31,64,57,79,54,63,64,76,65,42
77,M,Hindu,CE,D1,D1,A1,15,10,8,PJD,PJD,MVP,87,82,75,72,76,84,69,92,81,54,86,85,93,87,83,86,88,74,91,90,93,89,86,77,100,96.88,91.8,93.55,95.83,87.88,86,92,78,94,74,91,82,90,74
78,M,Hindu,CE,D12,D11,A7,351,321,222,MMP,PVV,SAS,47,42,43,27,51,63,83,63,80,71,38,55,66,54,62,41,51,40,75,86,82,82,86,71,100,84.72,81.36,90.91,82,80.3,42,44,60,58,75,44,58,84,39
79,M,Hindu,CE,D4,D3,A3,117,76,97,PJD,PVS,SAS,87,76,46,44,75,68,58,57,89,84,66,56,72,66,78.5,66,79,55,69.5,97,94,92,97,100,100,86.96,87.5,83.08,91.84,86.89,72,68,89,84,85,68,50,80,28
80,M,Hindu,CE,D5,D4,A3,127,93,100,KDL,BPD,DKU,77,72,85,43,84,78,60,82,58,89,47,66,79,70,73,63,89,57,85,93,97,96,92,93,100,91.04,100,83.61,87.76,91.23,74,83,92,69,67,85,71,84,57
81,F,Hindu,CE,D8,D10,A6,233,295,198,MMS,PVV,UMM,45,62,53,39,77,55,77,67,79,80,39,57,50,51,46,56,77,47,50,97,97,96,97,92,100,85.48,90.32,89.23,87.5,93.75,73,68,62,64,67,67,63,85,53
82,F,Hindu,CE,D1,D1,A1,12,1,10,MMS,ASA,DPB,94,95,94,71,77,95,60,85,84,77,74,80,85,76,84,91,91,88,91,100,99,98,97,100,100,100,98.36,96.77,100,100,87,99,77,96,83,92,98,91,76
83,M,Hindu,CE,D5,D9,A5,151,246,168,PJD,VHP,SAS,41,67,75,49,87,64,66,62,73,87,52,54,66,49,50,62,85,60,65,94,98,94,92,93,100,91.04,88.57,81.03,84,98.25,67,63,59,72,90,69,85,74,56
84,M,Hindu,CE,D1,D7,A5,5,193,166,JAZ,PVS,DPB,66,45,84,72,83,58,83,65,84,82,46,44,86,55,82,52,84,72,89,86,78,81,62,69,0,75.86,66.67,77.05,79.63,81.03,37,42,78,53,68,71,86,43,AB
85,M,Jain,CE,D12,D12,A7,341,338,243,ARP,ZPB,DKU,54,44,29,32,55,36,61,66,62,65,34,42,60,41,42,44,49,48,44,66,69,66,56,57,67,72.41,55.93,73.02,57.69,71.43,47,38,57,55,55,60,49,61,47
86,M,Jain,CE,D3,D8,A4,75,220,116,KCS,VHP,PSK,66,60,92,46,66,60,70,58,76,78,71,57,75,58,78,72,70,60,81,77,83,75,80,79,100,85.71,85.71,78.95,87.72,87.1,78,58,71,72,77,69,84,82,49
87,M,Muslim,CE,D1,D5,A2,27,121,74,MDP,JJS,PHA,69,72,79,59,87,59,81,80,82,68,73,59,79,65,75,83,81,65,75,93,84,86,81,92,100,84.13,85.25,78.13,81.48,77.97,76,70,89,83,86,86,100,79,60
88,M,Hindu,CE,D2,D1,A1,40,24,32,DPP,PVS,MVP,87,83,78,63,85,74,73,79,73,76,71,73,82,75,70,79,96,71,79,82,90,96,83,85,100,90.63,73.77,72.58,93.75,80.3,80,90,79,92,83,83,82,70,70
89,F,Hindu,CE,D5,D9,A4,149,245,139,NRS,PVS,PHA,72,55,71,35,76,59,67,49,82,90,62,57,60,50,54,67,73,55,55,93,100,96,100,100,100,86.57,88.57,96.55,100,100,74,66,85,54,60,62,65,50,46
90,F,Hindu,CE,D9,D4,A3,266,102,77,MMP,PVS,SAS,78,57,85,50,62,82,79,84,84,93,52,73,82,73,88,71,86,59,91,96,95,98,95,100,100,95.52,98.53,90.16,91.84,85.96,74,79,95,76,66,65,71,84,59
91,M,Hindu,CE,D4,D5,A4,101,138,133,SVC,PDB,MVP,74,68,54,39,68,73,58,67,66,87,61,61,77,50,79,72,75,49,82,99,100,100,100,100,100,100,100,100,100,100,74,72,76,76,76,67,70,79,58
92,M,Hindu,CE,D2,D1,A1,37,19,11,DPP,NPB,PSK,80,79,87,70,88,83,75,78,83,92,75,79,83,82,83,90,86,88,79,92,93,94,92,85,100,89.06,86.89,93.55,89.58,92.42,85,87,91,99,79,94,83,92,66
93,M,Hindu,CE,D7,D12,A7,202,350,235,PJD,VHP,SAS,21,44,75,28,48,50,51,76,59,74,37,44,49,55,41,55,55,46,57,98,92,94,95,93,100,98.28,93.22,92.06,96.15,92.86,46,54,70,49,61,48,51,62,32
94,F,Muslim,CE,D9,D8,A5,245,218,169,KCS,PJD,DPB,55,61,57,48,64,69,68,54,65,89,42,54,92,57,85,72,65,59,88,87,87,88,86,69,100,85.71,85.71,82.46,92.98,83.87,70,79,60,83,78,73,64,80,59
95,M,Hindu,CE,D8,D6,A3,217,166,93,NRS,PJD,SAS,45,76,85,55,90,72,82,80,95,90,48,64,80,69,81,66,79,71,77.5,84,86,94,92,92,100,86.44,89.66,83.58,88.46,83.33,72,74,94,82,93,74,84,80,68
96,M,Hindu,CE,D7,D5,A5,185,140,149,PJD,PJD,DPB,69,64,33,55,65,66,51,52,60,62,47,53,78,63,77,68,74,61,83,93,92,88,89,93,100,87.3,90.16,84.38,77.78,83.05,49,54,57,69,71,72,77,59,48
97,F,Hindu,CE,D4,D2,A1,109,54,27,KCS,BPD,PSK,78,76,49,57,72,76,65,80,94,83,82,79,59,75,62,74,80,67,54,97,94,96,95,93,100,92.42,95.08,88.89,95.65,87.69,79,90,87,86,59,73,88,80,69
98,M,Hindu,CE,D7,D8,A3,194,230,99,KCS,PVV,DVP,53,61,81,45,65,68,75,71,74,53,80,64,71,66,60,72,62,53,74,90,98,94,92,100,100,93.65,84.13,98.25,89.47,91.94,81,88,95,86,91,72,61,76,60
99,M,Hindu,CE,D2,D10,A5,42,289,173,KDL,IAM,ZVB,64,50,74,38,79,51,75,49,76,81,59,60,75,45,69,63,71,41,65,90,89,86,94,62,100,90.32,88.71,96.92,95.83,90.63,67,60,86,62,80,54,76,54,31
100,M,Hindu,CE,D2,D9,A5,45,247,159,MMP,ZPB,DPB,74,54,83,38,56,54,80,57,80,73,64,56,64,52,56,64,76,46,65,98,96,94,92,92,100,94.03,92.86,96.55,98,96.49,69,79,83,66,75,54,67,69,53
101,M,Hindu,CE,D2,D6,A2,54,153,67,DPP,PJD,MGV,76,58,71,46,90,71,77,84,87,91,54,71,82,66,75,73,83,72,63,93,94,96,94,77,100,93.22,89.66,94.03,96.15,95.45,87,89,86,77,77,86,79,87,68
102,M,Hindu,CE,D3,D11,A7,68,325,223,VVV,ZPB,DKU,54,46,76,33,47,42,63,69,78,80,40,54,59,36,50,49,44,48,70,86,83,89,85,93,100,88.89,86.44,70.91,84,93.94,51,55,74,54,88,53,74,71,45
103,M,Hindu,CE,D2,D2,A1,41,35,20,KCS,PVV,MVP,85,72,75,67,90,75,72,79,74,82,72,76,79,81,78,79,73,80,79,92,97,98,97,92,100,96.97,91.8,87.3,97.83,96.92,86,90,87,92,86,91,94,83,59
