Model,Approach,MAE
LightGBM Regressor (Tuned),"Tuned with BayesSearchCV (params: OrderedDict({'regressor__colsample_bytree': 0.7, 'regressor__learning_rate': 0.00940493447158547, 'regressor__max_depth': 9, 'regressor__min_child_samples': 50, 'regressor__n_estimators': 445, 'regressor__num_leaves': 20, 'regressor__reg_alpha': 0.0, 'regressor__reg_lambda': 0.0, 'regressor__subsample': 1.0}))",6.6952
Ridge Regression,Full-feature regression with 5-Fold CV and Regularization,7.0106
Ridge Regression (Tuned),Tuned alpha=79.0604 using GridSearchCV,6.9207
Ridge Regression (Tuned),Full-feature regression with 5-Fold CV and Regularization alpha: 100.0,6.922
Ridge Regression (Tuned),Feature selection + polynomial features + 5-Fold CV + Best Alpha: 100.0 + Number of Features: 12,6.8989
Ridge Regression (Tuned),Feature selection and polynomial features with 5-Fold CV Alpha: 10.0 Number of Features: 10,6.9134
Ridge Regression (tuned),Tuned regression with 5-Fold CV Best Alpha: 112.8838,6.925
Ridge Regression (Tuned),Feature selection + polynomial features + 5-Fold CV + Best Alpha: 100.0 + Number of Features: 12,6.8989
Ridge Regression (tuned),"Full-feature regression with Repeated 5-Fold CV and Regularization, alpha selected via two-stage grid search",6.9093
ElasticNet Regression,Full-feature regression + 5-Fold CV and L1+L2 Regularization,6.9046
Lasso Regression (tuned),Tuned regression + 5-Fold CV Best Alpha: 0.1623776739188721,6.8673
Lasso Regression (tuned),"Full-feature regression with Repeated 5-Fold CV and Regularization, alpha selected via two-stage grid search",6.855
ElasticNet Regression,Full-feature regression + Repeated 5-Fold CV + GridSearch on alpha + L1 ratio,6.8556
ElasticNet Regression (tuned),"Full-feature regression with Repeated 5-Fold CV and Regularization, alpha and L1 ratio selected via grid search",6.8556
ExtraTrees Regressor,OneHot + RobustScaler + Repeated 5-Fold CV + GridSearch,6.7031
HistGradientBoosting Regressor,OneHot + RobustScaler + Repeated 5-Fold CV + GridSearch,6.8525
NGBoost Regressor,OneHot + RobustScaler + Repeated 5-Fold CV + GridSearch,6.8741
Stacked Regressor (Ridge + ElasticNet + RandomForest + XGBoost),OneHot + RobustScaler + Repeated 5-Fold CV + Ridge meta-model,6.6822
Stacked Regressor (Ridge + ElasticNet + XGBoost + LightGBM),OneHot + RobustScaler + Repeated 5-Fold CV + CatBoost meta-model,
Stacking Regressor (Ridge + ElasticNet + XGBoost + LightGBM + CatBoost),OneHot + RobustScaler + Repeated 5-Fold CV + Stacking,6.6969
StackNet GradientBoosting Stacking (Layer 1 + Layer 2),Layer 1: Ridge + Lasso + XGBoost; Layer 2: GradientBoostingRegressor; OneHot + RobustScaler + Repeated 5-Fold CV,7.1758
Voting Ensemble (Tree-Based Only),RandomForest + ExtraTrees + LightGBM + XGBoost; Weighted Voting; OneHot + RobustScaler + Repeated 5-Fold CV,6.8305
Stacked Regressor (Ridge + ElasticNet + RandomForest + XGBoost),Diverse Feature Sets + OneHot + RobustScaler + Repeated 5-Fold CV + Linear meta-model,6.7051
Bootstrap Aggregated XGBoost,10 Bootstrapped XGBoost Models + Averaged Predictions + OneHot + RobustScaler + Repeated 5-Fold CV,6.8068
Voting Regressor (Ridge + Lasso + Random Forest),OneHot + RobustScaler + Repeated 5-Fold CV + BayesSearchCV + Manual Weights,6.7149
Voting Regressor (Ridge + Lasso + ElasticNet),OneHot + RobustScaler + Repeated 5-Fold CV + BayesSearchCV + Weighted Voting,6.8695
Voting Regressor (Ridge + Lasso + Random Forest),OneHot + RobustScaler + Repeated 5-Fold CV + BayesSearchCV + Manual Weights,6.7149
Voting Regressor (Ridge + Lasso + ElasticNet),OneHot + RobustScaler + Repeated 5-Fold CV + BayesSearchCV + Manual Weights,6.8685
Voting Regressor (Ridge + Lasso + ElasticNet),OneHot + RobustScaler + Repeated 5-Fold CV + BayesSearchCV,6.5837
Stacking Regressor (Ridge + Lasso + ElasticNet),OneHot + RobustScaler + Repeated 5-Fold CV + BayesSearchCV + Stacking,6.9007
